code,name,ccy,entry_date,exit_date,entry_px_avg,exit_px_avg,qty,n_fills,hold_days,ret_pct
NVTS.OQ,나비타스 세미컨덕터,USD,2026-05-13,2026-06-05,32.2,31.58,836.0,9,23,-1.93
LYB.NY,라이온델바젤 인더스트리스,USD,2026-05-13,2026-05-28,72.22,70.04,200.0,3,15,-3.03
A425040,티이엠씨,KRW,2026-05-15,2026-06-04,23500.0,18020.0,200.0,2,20,-23.32
A005935,삼성전자우,KRW,2026-05-18,2026-05-19,196733.33,182400.0,300.0,3,1,-7.29
A080220,제주반도체,KRW,2026-05-22,2026-07-07,103953.97,96526.57,2040.0,25,46,-7.14
NVTX.AX,TRADR NVTS DAILY 2X,USD,2026-05-28,2026-06-30,190.05,44.76,1.0,2,33,-76.45
A033160,엔케이전자,KRW,2026-05-28,2026-06-01,33800.0,28300.0,500.0,2,4,-16.27
A035420,NAVER,KRW,2026-06-02,2026-06-09,261705.88,257264.71,170.0,7,7,-1.7
A018260,삼성에스디에스,KRW,2026-06-04,2026-06-05,315000.0,300500.0,100.0,2,1,-4.6
A0105D0,SOL 한국AI소프트웨어,KRW,2026-06-04,2026-06-08,13715.0,12898.0,5000.0,7,4,-5.96
A052710,아모텍,KRW,2026-06-17,2026-06-30,31396.43,21730.36,2800.0,12,13,-30.79
SPCX.OQ,스페이스X,USD,2026-06-17,2026-06-30,173.09,150.45,20.0,2,13,-13.08
A077970,STX엔진,KRW,2026-06-19,2026-07-09,37925.0,29409.0,1000.0,5,20,-22.45
A402340,SK스퀘어,KRW,2026-06-26,2026-06-30,1917333.33,1789555.56,90.0,10,4,-6.66
A128940,한미약품,KRW,2026-07-01,2026-07-02,413000.0,399500.0,20.0,2,1,-3.27
AMAT.OQ,어플라이드 머티어리얼즈,USD,2026-07-02,2026-07-15,726.0,574.51,6.0,2,13,-20.87
A278470,에이피알,KRW,2026-07-03,2026-08-19,419714.29,377642.86,35.0,4,47,-10.02
A052710,아모텍,KRW,2026-07-03,2026-08-10,24216.67,19184.77,300.0,5,38,-20.78
A010060,OCI홀딩스,KRW,2026-07-03,2026-07-27,238700.0,216948.0,50.0,6,24,-9.11
A062040,산일전기,KRW,2026-07-03,2026-07-07,259480.77,215000.0,260.0,5,4,-17.14
A006340,대원전선,KRW,2026-07-03,2026-07-09,12944.75,11060.0,1010.0,5,6,-14.56
A095610,테스,KRW,2026-07-03,2026-07-21,214928.57,199642.86,70.0,6,18,-7.11
A298040,효성중공업,KRW,2026-07-06,2026-07-09,3593000.0,2989800.0,10.0,3,3,-16.79
A080220,제주반도체,KRW,2026-07-14,2026-07-28,85916.35,73356.45,783.0,11,14,-14.62
A058470,리노공업,KRW,2026-07-14,2026-08-19,74640.0,70130.0,1000.0,8,36,-6.04
SKHY.OQ,SK하이닉스(ADR),USD,2026-07-16,2026-07-29,176.13,140.94,76.0,3,13,-19.98
A031980,피에스케이홀딩스,KRW,2026-07-20,2026-07-27,156400.0,122350.0,100.0,3,7,-21.77
A009150,삼성전기,KRW,2026-07-24,2026-07-24,1428000.0,1372000.0,7.0,2,0,-3.92
A402340,SK스퀘어,KRW,2026-07-24,2026-07-24,1341250.0,1267000.0,4.0,5,0,-5.54
A229640,LS에코에너지,KRW,2026-07-27,2026-08-10,52700.0,45350.0,10.0,2,14,-13.95
A005090,SGC에너지,KRW,2026-07-28,2026-08-10,53072.73,49450.0,220.0,4,13,-6.83
A463020,뉴엔AI,KRW,2026-08-06,2026-08-21,11361.86,9643.48,1725.0,7,15,-15.12
A108860,셀바스AI,KRW,2026-08-06,2026-08-13,11176.67,10833.33,1500.0,6,7,-3.07
A035420,NAVER,KRW,2026-08-06,2026-08-10,226600.0,225000.0,50.0,3,4,-0.71
A377480,마음AI,KRW,2026-08-06,2026-08-13,12080.0,11580.0,600.0,3,7,-4.14
A304100,솔트룩스,KRW,2026-08-07,2026-08-20,18040.0,16715.0,1200.0,6,13,-7.34
A477850,마키나락스,KRW,2026-08-12,2026-08-21,32687.5,26150.0,400.0,3,9,-20.0
A126340,비나텍,KRW,2026-08-18,2026-08-20,79559.57,72909.36,235.0,6,2,-8.36
